title,genres,year,clean_title,source
Clickbait,"crime tv shows, tv dramas, tv mysteries",2021,clickbait,Netflix
John of God: The Crimes of a Spiritual Healer,"crime tv shows, docuseries, international tv shows",2021,john of god the crimes of a spiritual healer,Netflix
Motel Makeover,"international tv shows, reality tv",2021,motel makeover,Netflix
Open Your Eyes,"international tv shows, tv dramas, tv mysteries",2021,open your eyes,Netflix
Post Mortem: No One Dies in Skarnes,"international tv shows, tv comedies, tv dramas",2021,post mortem no one dies in skarnes,Netflix
Really Love,"dramas, independent movies, romantic movies",2020,really love,Netflix
The November Man,action & adventure,2014,the november man,Netflix
The Old Ways,horror movies,2020,the old ways,Netflix
The River Runner,"documentaries, sports movies",2021,the river runner,Netflix
The Water Man,"children & family movies, dramas",2021,the water man,Netflix
Wheel of Fortune,reality tv,2019,wheel of fortune,Netflix
Count Me In,"documentaries, music & musicals",2021,count me in,Netflix
Oggy Oggy,"kids' tv, tv comedies",2021,oggy oggy,Netflix
Untold: Caitlyn Jenner,"documentaries, lgbtq movies, sports movies",2021,untold caitlyn jenner,Netflix
Boomika,"horror movies, international movies, thrillers",2021,boomika,Netflix
Boomika (Hindi),"horror movies, international movies, thrillers",2021,boomika hindi,Netflix
Boomika (Malayalam),"horror movies, international movies, thrillers",2021,boomika malayalam,Netflix
Boomika (Telugu),"horror movies, international movies, thrillers",2021,boomika telugu,Netflix
The Witcher: Nightmare of the Wolf,"action & adventure, anime features",2021,the witcher nightmare of the wolf,Netflix
Manifest,"tv dramas, tv mysteries, tv sci-fi & fantasy",2021,manifest,Netflix
Comedy Premium League,"international tv shows, tv comedies",2021,comedy premium league,Netflix
Everything Will Be Fine,"international tv shows, spanish-language tv shows, tv comedies",2021,everything will be fine,Netflix
Gunshot,"dramas, international movies, thrillers",2018,gunshot,Netflix
Korean Cold Noodle Rhapsody,"docuseries, international tv shows",2021,korean cold noodle rhapsody,Netflix
Man in Love,"dramas, international movies, romantic movies",2021,man in love,Netflix
Sweet Girl,"action & adventure, dramas",2021,sweet girl,Netflix
The Chair,"tv comedies, tv dramas",2021,the chair,Netflix
The Loud House Movie,"children & family movies, comedies, music & musicals",2021,the loud house movie,Netflix
A Faraway Land,"dramas, international movies, romantic movies",2020,a faraway land,Netflix
Like Crazy,"dramas, independent movies, romantic movies",2011,like crazy,Netflix
Black Island,"international movies, thrillers",2021,black island,Netflix
Bombay,"dramas, international movies, romantic movies",1995,bombay,Netflix
Go! Go! Cory Carson,kids' tv,2021,go go cory carson,Netflix
Memories of a Murderer: The Nilsen Tapes,"documentaries, international movies",2021,memories of a murderer the nilsen tapes,Netflix
Nneka The Pretty Serpent,"dramas, international movies",2020,nneka the pretty serpent,Netflix
O Kadhal Kanmani,"dramas, international movies, romantic movies",2015,o kadhal kanmani,Netflix
Out of my league,"comedies, dramas, international movies",2020,out of my league,Netflix
Pahuna,"comedies, dramas, international movies",2018,pahuna,Netflix
The Defeated,"crime tv shows, international tv shows, tv dramas",2020,the defeated,Netflix
The Secret Diary of an Exchange Student,"comedies, international movies, romantic movies",2021,the secret diary of an exchange student,Netflix
Untold: Deal With the Devil,"documentaries, lgbtq movies, sports movies",2021,untold deal with the devil,Netflix
Mother Goose Club,kids' tv,2016,mother goose club,Netflix
Walk of Shame,"comedies, independent movies",2014,walk of shame,Netflix
Rascal Does Not Dream of Bunny Girl Senpai,"anime series, international tv shows, romantic tv shows",2018,rascal does not dream of bunny girl senpai,Netflix
The Creative Indians,"docuseries, international tv shows",2020,the creative indians,Netflix
The Piano,"classic movies, dramas, independent movies",1993,the piano,Netflix
Unroyal,"dramas, international movies",2020,unroyal,Netflix
Winx Club,kids' tv,2015,winx club,Netflix
Beckett,action & adventure,2021,beckett,Netflix
